cruise,cast,niskin,station,data_check,sd_5_total,CV_5_tot,sd_20_total,CV_20_tot,size,mean_npp,depth_category,sd_npp,depth,depth_grp,latitude,longitude,temp_check,temp
EN649,1,4,L1,A,NA,NA,NA,NA,between520,0.935,NA,NA,18.072,"(16.5,18]",41.20436,-70.88485,Good,5.33444
EN649,1,4,L1,A,NA,NA,NA,NA,greater20,1.479,NA,NA,18.072,"(16.5,18]",41.20436,-70.88485,Good,5.33444
EN649,1,9,L1,A,NA,NA,NA,NA,total,12.329,D2,NA,10.265,"(9,10.5]",41.2042,-70.88576,Good,5.3342
EN649,1,9,L1,A,NA,NA,NA,NA,less20,8.98,D2,NA,10.265,"(9,10.5]",41.2042,-70.88576,Good,5.3342
EN649,1,9,L1,A,NA,NA,NA,NA,less5,2.624,D2,NA,10.265,"(9,10.5]",41.2042,-70.88576,Good,5.3342
EN649,1,9,L1,A,NA,NA,NA,NA,between520,6.356,NA,NA,10.265,"(9,10.5]",41.2042,-70.88576,Good,5.3342
EN649,1,9,L1,A,NA,NA,NA,NA,greater20,3.349,NA,NA,10.265,"(9,10.5]",41.2042,-70.88576,Good,5.3342
EN649,1,15,L1,A,NA,NA,NA,NA,total,29.794,D3,NA,3.356,"(1.5,3]",41.20412,-70.88643,Good,5.333453846
EN649,1,15,L1,A,NA,NA,NA,NA,less20,20.815,D3,NA,3.356,"(1.5,3]",41.20412,-70.88643,Good,5.333453846
EN649,1,15,L1,A,NA,NA,NA,NA,less5,6.255,D3,NA,3.356,"(1.5,3]",41.20412,-70.88643,Good,5.333453846
EN649,1,15,L1,A,NA,NA,NA,NA,between520,14.56,NA,NA,3.356,"(1.5,3]",41.20412,-70.88643,Good,5.333453846
EN649,1,15,L1,A,NA,NA,NA,NA,greater20,8.979,NA,NA,3.356,"(1.5,3]",41.20412,-70.88643,Good,5.333453846
EN649,5,6,L2,A,NA,NA,NA,NA,total,0.718,D1,NA,33.722,"(31.5,33]",41.02974,-70.88462,Good,6.545175
EN649,5,6,L2,A,NA,NA,NA,NA,less20,0.466,D1,NA,33.722,"(31.5,33]",41.02974,-70.88462,Good,6.545175
EN649,5,6,L2,A,NA,NA,NA,NA,less5,0.149,D1,NA,33.722,"(31.5,33]",41.02974,-70.88462,Good,6.545175
EN649,5,6,L2,A,NA,NA,NA,NA,between520,0.317,NA,NA,33.722,"(31.5,33]",41.02974,-70.88462,Good,6.545175
EN649,5,6,L2,A,NA,NA,NA,NA,greater20,0.252,NA,NA,33.722,"(31.5,33]",41.02974,-70.88462,Good,6.545175
EN649,5,10,L2,A,NA,NA,NA,NA,total,4.809,D2,NA,15.397,"(13.5,15]",41.02994,-70.88496,Good,6.4894
EN649,5,10,L2,A,NA,NA,NA,NA,less20,2.972,D2,NA,15.397,"(13.5,15]",41.02994,-70.88496,Good,6.4894
EN649,5,10,L2,A,NA,NA,NA,NA,less5,1.565,D2,NA,15.397,"(13.5,15]",41.02994,-70.88496,Good,6.4894
EN649,5,10,L2,A,NA,NA,NA,NA,between520,1.407,NA,NA,15.397,"(13.5,15]",41.02994,-70.88496,Good,6.4894
EN649,5,10,L2,A,NA,NA,NA,NA,greater20,1.837,NA,NA,15.397,"(13.5,15]",41.02994,-70.88496,Good,6.4894
EN649,5,15,L2,A,NA,NA,NA,NA,total,27.976,D3,NA,3.698,"(1.5,3]",41.03012,-70.8854,Good,6.459022222
EN649,5,15,L2,A,NA,NA,NA,NA,less20,16.47,D3,NA,3.698,"(1.5,3]",41.03012,-70.8854,Good,6.459022222
EN649,5,15,L2,A,NA,NA,NA,NA,less5,6.623,D3,NA,3.698,"(1.5,3]",41.03012,-70.8854,Good,6.459022222
