cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
EN608,8,4,2.0018569485,0.9232110225,0.483348175,1.400429393,0.01721005062287685,0,0.06025927149008461,0.002880736055991192,2018-02-01T19:23:05Z,40.69524,-70.88488,"(43.5,45]",44.417
EN608,8,9,1.9808141255,1.111281597,0.4761031275,1.3950822989999998,0.013266080526422374,0.004391162102546488,0.010389529835468805,0.006841748840086,2018-02-01T19:25:56Z,40.69446,-70.88457,"(28.5,30]",29.65
EN608,8,12,1.9531795760000001,1.0809160355,0.4761031275,1.4029756285000001,0.015775878971604686,0.002927441165995431,0.10597320163477678,0.00360092077709583,2018-02-01T19:28:22Z,40.69375,-70.8845,"(13.5,15]",14.602
EN608,8,16,1.979800014,1.3211468085,0.48308942349999995,1.3932999345,0.04481783917673859,0.004025231514855324,0.16657879069176273,0.0057614728190893815,2018-02-01T19:30:57Z,40.69302,-70.88424,"(4.5,6]",5.443
EN608,9,2,4.5906311760000005,1.3444107465,0.5167271445,2.0479370195,0.005378141040619323,3.65929880584364e-4,0.03948021181914685,0.003961012076988125,2018-02-01T23:38:30Z,40.52352,-70.89457,"(70.5,72]",71.33823307950566
EN608,9,4,4.548799059,1.3453902809999998,0.514398379,2.024257032,0.020795477276183465,0.004391161395439727,0.13090807281563802,0.002160552041993237,2018-02-01T23:41:26Z,40.52312,-70.89524,"(43.5,45]",45.542070774238425
EN608,9,9,4.676323634,0.9393733375,0.5138808755,2.015599832,0.18823492369377393,0.012441625132257215,0.5776578437199846,0.024486259304352647,2018-02-01T23:44:13Z,40.52266,-70.89578,"(28.5,30]",29.430220374475436
EN608,9,12,4.6243503975,0.7037953525,0.5190559095,2.0324049845,0.015775879678711684,7.318604682755677e-4,0.027012776582269565,0.006481656833087179,2018-02-01T23:46:46Z,40.52234,-70.8963,"(13.5,15]",14.822302961751321
EN608,9,16,4.622068646,0.954311235,0.5198321645,2.0288402555,3.585427360413301e-4,3.65929880584364e-4,0.135410201892463,0.008642208875080416,2018-02-01T23:49:07Z,40.52208,-70.8966,"(3,4.5]",4.998107709639905
EN608,12,1,6.3006774165,1.063284419,0.6354941745,3.7139387505,0.0817477374534617,0.011709765371088409,0.0962763076402175,0.00936239288907837,2018-02-02T09:18:54Z,40.35838,-70.88038,"(87,88.5]",88.077
EN608,12,4,6.1587017465,0.467237833,0.636529181,3.278023274,0.09608944689511428,0.0014637209365511354,0.10389529552626162,0.018004601764158787,2018-02-02T09:22:28Z,40.3577,-70.8803,"(73.5,75]",75.04
EN608,12,8,5.8303830095,0.7353853315000001,0.6246266030000001,2.9233327024999998,0.03191030138635786,7.318597611688065e-4,0.05229396533003222,0.012603221659175066,2018-02-02T09:25:23Z,40.35719,-70.88016,"(52.5,54]",54.591
EN608,12,11,5.517783007,1.097568118,0.6075489905,2.7209069990000003,0.17783718434857598,0.024883250971621113,0.01731588258771027,0.12315147912154799,2018-02-02T09:27:54Z,40.35679,-70.88002,"(34.5,36]",35.583
