cruise,cast,niskin,station,data_check,size,mean_npp,depth_category,sd_npp,depth,depth_grp,temp_check,temp_dif
EN649,12,21,L10,A,greater20,0.716,NA,NA,4.962,"(3,4.5]",Good,-0.433401212
EN649,16,6,L11,A,total,0.039,D1,NA,110.969,"(110,111]",Bad,-4.334661565
EN649,16,6,L11,A,less20,0.037,D1,NA,110.969,"(110,111]",Bad,-4.334661565
EN649,16,6,L11,A,less5,0,D1,NA,110.969,"(110,111]",Bad,-4.334661565
EN649,16,6,L11,A,between520,0.037,NA,NA,110.969,"(110,111]",Bad,-4.334661565
EN649,16,6,L11,A,greater20,0.002,NA,NA,110.969,"(110,111]",Bad,-4.334661565
EN649,16,8,L11,A,total,0.475,D2,NA,61.728,"(60,61.5]",Bad,-3.878961565
EN649,16,8,L11,A,less20,0.406,D2,NA,61.728,"(60,61.5]",Bad,-3.878961565
EN649,16,8,L11,A,less5,0.124,D2,NA,61.728,"(60,61.5]",Bad,-3.878961565
EN649,16,8,L11,A,between520,0.282,NA,NA,61.728,"(60,61.5]",Bad,-3.878961565
EN649,16,8,L11,A,greater20,0.069,NA,NA,61.728,"(60,61.5]",Bad,-3.878961565
EN649,16,12,L11,A,total,2.939,D3,NA,34.659,"(33,34.5]",Bad,-3.557591565
EN649,16,12,L11,A,less20,2.497,D3,NA,34.659,"(33,34.5]",Bad,-3.557591565
EN649,16,12,L11,A,less5,1.345,D3,NA,34.659,"(33,34.5]",Bad,-3.557591565
EN649,16,12,L11,A,between520,1.152,NA,NA,34.659,"(33,34.5]",Bad,-3.557591565
EN649,16,12,L11,A,greater20,0.442,NA,NA,34.659,"(33,34.5]",Bad,-3.557591565
EN649,16,18,L11,A,total,14.024,D4,NA,3.406,"(1.5,3]",Good,-2.678468707
EN649,16,18,L11,A,less20,11.974,D4,NA,3.406,"(1.5,3]",Good,-2.678468707
EN649,16,18,L11,A,less5,7.1,D4,NA,3.406,"(1.5,3]",Good,-2.678468707
EN649,16,18,L11,A,between520,4.874,NA,NA,3.406,"(1.5,3]",Good,-2.678468707
EN649,16,18,L11,A,greater20,2.05,NA,NA,3.406,"(1.5,3]",Good,-2.678468707
EN649,19,6,L6,A,total,0.223,D1,NA,49.548,"(48,49.5]",Good,0.0135189
EN649,19,6,L6,A,less20,0.167,D1,NA,49.548,"(48,49.5]",Good,0.0135189
EN649,19,6,L6,A,less5,0.067,D1,NA,49.548,"(48,49.5]",Good,0.0135189
EN649,19,6,L6,A,between520,0.1,NA,NA,49.548,"(48,49.5]",Good,0.0135189
EN649,19,6,L6,A,greater20,0.056,NA,NA,49.548,"(48,49.5]",Good,0.0135189
EN649,19,11,L6,A,total,5.422,D2,NA,35.089,"(33,34.5]",Good,0.158704742
EN649,19,11,L6,A,less20,3.024,D2,NA,35.089,"(33,34.5]",Good,0.158704742
EN649,19,11,L6,A,less5,1.573,D2,NA,35.089,"(33,34.5]",Good,0.158704742
EN649,19,11,L6,A,between520,1.451,NA,NA,35.089,"(33,34.5]",Good,0.158704742
EN649,19,11,L6,A,greater20,2.398,NA,NA,35.089,"(33,34.5]",Good,0.158704742
EN649,19,16,L6,A,total,2.015,D3,NA,14.664,"(13.5,15]",Good,-0.093952715
EN649,19,16,L6,A,less20,1.561,D3,NA,14.664,"(13.5,15]",Good,-0.093952715
EN649,19,16,L6,A,less5,1.194,D3,NA,14.664,"(13.5,15]",Good,-0.093952715
EN649,19,16,L6,A,between520,0.367,NA,NA,14.664,"(13.5,15]",Good,-0.093952715
EN649,19,16,L6,A,greater20,0.454,NA,NA,14.664,"(13.5,15]",Good,-0.093952715
EN649,19,21,L6,A,total,11.826,D4,NA,3.98,"(1.5,3]",Good,-0.098650215
