cruise,date,latitude,longitude,cast,niskin,depth,depth_grp
EN608,2018-02-02 04:10:43+00:00,40.35942,-70.66132,10,4,5,"(4.5,6]"
EN608,2018-02-02 07:04:25+00:00,40.36082,-71.10338,11,1,74,"(73.5,75]"
EN608,2018-02-02 07:04:33+00:00,40.3608,-71.10338,11,2,73,"(73.5,75]"
EN608,2018-02-02 07:04:40+00:00,40.36078,-71.10338,11,3,74,"(73.5,75]"
EN608,2018-02-02 07:09:01+00:00,40.36017,-71.1034,11,4,3,"(1.5,3]"
EN608,2018-02-02 07:09:14+00:00,40.36014,-71.1034,11,5,4,"(1.5,3]"
EN608,2018-02-02 09:18:54+00:00,40.35838,-70.88038,12,1,88,"(87,88.5]"
EN608,2018-02-02 09:19:39+00:00,40.35821,-70.88032,12,2,89,"(87,88.5]"
EN608,2018-02-02 09:20:12+00:00,40.35808,-70.88028,12,3,88,"(87,88.5]"
EN608,2018-02-02 09:22:28+00:00,40.3577,-70.8803,12,4,75,"(73.5,75]"
EN608,2018-02-02 09:22:37+00:00,40.35764,-70.88031,12,5,75,"(73.5,75]"
EN608,2018-02-02 09:22:45+00:00,40.35764,-70.8803,12,6,75,"(73.5,75]"
EN608,2018-02-02 09:25:15+00:00,40.35722,-70.88016,12,7,55,"(52.5,54]"
EN608,2018-02-02 09:25:23+00:00,40.35719,-70.88016,12,8,54,"(52.5,54]"
EN608,2018-02-02 09:25:32+00:00,40.35716,-70.88014,12,9,54,"(52.5,54]"
EN608,2018-02-02 09:25:40+00:00,40.35715,-70.88013,12,10,54,"(52.5,54]"
EN608,2018-02-02 09:27:54+00:00,40.35679,-70.88002,12,11,35,"(34.5,36]"
EN608,2018-02-02 09:28:04+00:00,40.35675,-70.88002,12,12,35,"(34.5,36]"
EN608,2018-02-02 09:28:12+00:00,40.35674,-70.88004,12,13,35,"(34.5,36]"
EN608,2018-02-02 09:30:24+00:00,40.3565,-70.88006,12,14,14,"(13.5,15]"
EN608,2018-02-02 09:30:32+00:00,40.35648,-70.88006,12,15,14,"(13.5,15]"
EN608,2018-02-02 09:30:39+00:00,40.35646,-70.88006,12,16,14,"(13.5,15]"
EN608,2018-02-02 09:30:46+00:00,40.35644,-70.88006,12,17,14,"(13.5,15]"
